City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tautira,PF,2022-06-10 21:43:14,-17.7333,-149.15,299.2,74,28,4.26
68,Ambilobe,MG,2022-06-10 21:43:15,-13.2,49.05,293.72,81,6,1.32
69,Port Elizabeth,ZA,2022-06-10 21:43:15,-33.918,25.5701,288.88,56,0,1.03
70,Salalah,OM,2022-06-10 21:41:58,17.0151,54.0924,303.2,84,75,3.6
71,East London,ZA,2022-06-10 21:43:16,-33.0153,27.9116,289.79,56,0,3.74
72,Bara,NG,2022-06-10 21:43:17,10.3744,10.7288,298.67,76,50,6.07
73,Seydi,TM,2022-06-10 21:43:17,39.4816,62.9137,303.95,16,100,6.88
74,Ulladulla,AU,2022-06-10 21:39:44,-35.35,150.4667,280.87,82,3,2.33
75,Khatanga,RU,2022-06-10 21:43:18,71.9667,102.5,278.25,71,93,3.73
76,Luderitz,NA,2022-06-10 21:43:19,-26.6481,15.1594,292.86,29,85,2.08
77,Leningradskiy,RU,2022-06-10 21:43:19,69.3833,178.4167,278.05,55,95,5.2
78,Vardo,NO,2022-06-10 21:43:20,70.3705,31.1107,279.14,70,20,4.12
79,Ilulissat,GL,2022-06-10 21:43:20,69.2167,-51.1,276.16,75,75,1.54
80,Meulaboh,ID,2022-06-10 21:43:21,4.1363,96.1285,296.72,90,62,2.68
81,Sukhumi,GE,2022-06-10 21:43:22,43.0033,41.0153,292.06,85,53,2.22
82,Nogales,MX,2022-06-10 21:43:23,31.3086,-110.9422,312.17,14,75,4.12
83,Butaritari,KI,2022-06-10 21:43:24,3.0707,172.7902,301.26,72,92,6.08
84,Santa Rosa,PH,2022-06-10 21:41:17,14.3122,121.1114,300.99,77,79,1.58
85,Svetlogorsk,BY,2022-06-10 21:43:24,52.6333,29.7333,290.87,80,2,2.18
86,Minas,UY,2022-06-10 21:43:25,-34.3759,-55.2377,276.25,59,6,3.83
87,Dunedin,NZ,2022-06-10 21:43:26,-45.8742,170.5036,278.6,62,44,0.45
88,Yellowknife,CA,2022-06-10 21:43:26,62.456,-114.3525,297.44,35,75,7.72
89,Chapais,CA,2022-06-10 21:43:27,49.7834,-74.8492,294.03,59,100,5.87
90,Dikson,RU,2022-06-10 21:43:28,73.5069,80.5464,275.64,82,93,4.0
91,Petropavlovsk-Kamchatskiy,RU,2022-06-10 21:44:28,53.0452,158.6483,282.48,76,20,1.0
92,Karratha,AU,2022-06-10 21:42:51,-20.7377,116.8463,295.13,84,0,3.75
93,Moron,AR,2022-06-10 21:44:31,-34.6534,-58.6198,283.01,36,0,3.3
94,Svetlaya,RU,2022-06-10 21:44:31,46.5389,138.3297,280.74,95,100,2.1
95,Qaanaaq,GL,2022-06-10 21:44:32,77.484,-69.3632,272.61,85,100,1.8
96,Coahuayana,MX,2022-06-10 21:44:32,18.7333,-103.6833,305.1,55,99,2.96
97,Hilo,US,2022-06-10 21:39:49,19.7297,-155.09,302.19,69,100,4.12
98,Srednekolymsk,RU,2022-06-10 21:44:33,67.45,153.6833,285.87,62,92,3.58
